Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
45 to 54 years old,16768,227,1.4,0,0,0,0,36,0.2,191,1.1,16540,98.6,14566,86.9,1974,11.8,Male (White Alone)
55 years old and over,33290,107,0.3,0,0,3,0,9,0,95,0.3,33183,99.7,29224,87.8,3959,11.9,Male (White Alone)
Total,119152,28328,23.8,3034,2.5,11705,9.8,6034,5.1,7555,6.3,90824,76.2,79414,66.6,11410,9.6,Female (White Alone)
3 and 4 years old,2811,1546,55,1546,55,0,0,0,0,0,0,1265,45,0,0,1265,45,Female (White Alone)
5 and 6 years old,2849,2666,93.6,1476,51.8,1190,41.7,0,0,0,0,183,6.4,0,0,183,6.4,Female (White Alone)
7 to 9 years old,4401,4309,97.9,11,0.3,4298,97.7,0,0,0,0,92,2.1,0,0,92,2.1,Female (White Alone)
10 to 13 years old,5905,5802,98.3,0,0,5728,97,74,1.3,0,0,103,1.7,0,0,103,1.7,Female (White Alone)
14 and 15 years old,3015,2956,98.1,0,0,415,13.8,2532,84,9,0.3,59,1.9,0,0,59,1.9,Female (White Alone)
16 and 17 years old,2999,2833,94.5,0,0,30,1,2731,91,73,2.4,166,5.5,41,1.4,125,4.2,Female (White Alone)
18 and 19 years old,3049,2196,72,0,0,16,0.5,513,16.8,1667,54.7,853,28,638,20.9,215,7.1,Female (White Alone)
20 and 21 years old,2935,1646,56.1,0,0,0,0,35,1.2,1611,54.9,1289,43.9,1135,38.7,154,5.2,Female (White Alone)
22 to 24 years old,5126,1555,30.3,0,0,5,0.1,48,0.9,1502,29.3,3571,69.7,3206,62.6,364,7.1,Female (White Alone)
25 to 29 years old,7924,1046,13.2,0,0,3,0,28,0.3,1015,12.8,6878,86.8,6307,79.6,571,7.2,Female (White Alone)
30 to 34 years old,7899,541,6.9,0,0,11,0.1,17,0.2,514,6.5,7358,93.1,6670,84.4,688,8.7,Female (White Alone)
35 to 44 years old,15124,692,4.6,0,0,0,0,26,0.2,666,4.4,14432,95.4,12930,85.5,1502,9.9,Female (White Alone)
45 to 54 years old,17060,402,2.4,0,0,7,0,29,0.2,366,2.1,16658,97.6,15066,88.3,1592,9.3,Female (White Alone)
55 years old and over,38055,137,0.4,0,0,3,0,0,0,133,0.4,37918,99.6,33421,87.8,4497,11.8,Female (White Alone)
